T,Open,High,Low,Close,Volume BTC,Volume USD,BV,C,H,L,O,V,P
2014-03-19,619.78,633.66,612.22,620.0,4.86,3013.79,0.21633552,0.029,0.0315,0.029,0.0315,7.20130451,0.0
2014-03-20,620.0,625.02,590.0,590.0,8.49,5127.29,0.10592111,0.0226,0.0226,0.0226,0.0226,4.68677585,0.25
2014-03-21,590.0,615.23,580.0,590.0,16.27,9667.69,0.05486416,0.026000000000000002,0.026000000000000002,0.0225,0.0225,2.14794003,0.0
2014-03-22,590.0,596.0,554.05,572.3,11.84,6716.21,0.7772872000000001,0.02600001,0.029,0.02560001,0.029,29.57954364,0.0
2014-03-23,572.3,596.0,566.36,574.22,1.31,758.7,0.10993658,0.0263,0.03,0.026000000000000002,0.026000000000000002,4.09821892,0.0
2014-03-24,574.22,592.54,554.5,585.4,5.69,3257.47,0.0580725,0.0294,0.03,0.0263,0.0263,1.96816149,0.0
2014-03-25,585.4,591.15,579.0,579.02,5.73,3345.3,0.21078203,0.03,0.03,0.02628,0.02628,7.75379006,0.0
2014-03-26,579.02,641.14,579.0,585.09,13.33,7801.51,0.50609207,0.026756,0.0295,0.026410000000000003,0.0266,18.803697600000003,0.0
2014-03-27,585.09,599.27,502.78,502.78,34.78,19145.71,0.45877497,0.028856,0.028856,0.026605,0.026756,16.95543866,0.0
2014-03-28,502.78,553.0,500.0,516.48,44.09,22953.89,0.2194029,0.026666000000000002,0.028959,0.026660000000000003,0.02670001,8.07037847,0.0
2014-03-29,516.48,518.0,505.0,514.99,6.11,3123.47,0.31645714,0.02929,0.0293,0.027000000000000003,0.028,11.1132666,0.0
2014-03-30,514.99,514.99,436.07,467.1,33.23,15813.18,0.42264328,0.028995,0.029,0.02677021,0.029,15.30122158,0.0
2014-03-31,467.1,530.0,443.35,462.39,17.6,8236.68,0.58029664,0.0278001,0.02929,0.027701,0.028995,20.78120926,0.0
2014-04-01,462.39,503.23,462.39,490.73,17.55,8587.14,0.77195839,0.026605,0.0278001,0.0245,0.0277,28.07785106,0.0
2014-04-02,490.73,497.15,443.63,443.63,15.11,7307.48,0.5339871,0.02565,0.0277,0.0245,0.027000000000000003,20.69929834,0.0
2014-04-03,443.63,463.7,426.45,458.6,15.54,6948.47,0.34207375,0.02697,0.027000000000000003,0.02252,0.02565,14.30691626,0.0
2014-04-04,458.6,550.0,440.0,458.84,21.14,9733.4,0.53963687,0.0277,0.0277,0.022636,0.02696999,21.73319199,0.0
2014-04-05,458.84,467.85,447.57,467.85,0.9441,431.12,0.1598307,0.02333334,0.02549999,0.02320001,0.02320002,6.82813991,0.0
2014-04-06,467.85,469.44,450.0,461.82,5.12,2360.64,0.10517839,0.0252,0.0261,0.024,0.0255,4.22940593,0.0
2014-04-07,461.82,475.32,450.0,462.08,7.09,3276.76,0.07462010000000001,0.02572,0.0276,0.024500900000000003,0.024500900000000003,2.92925276,0.0
2014-04-08,462.08,465.82,454.38,454.39,3.32,1514.56,0.77881909,0.02350001,0.025999,0.02350001,0.02451,31.78782505,0.0
2014-04-09,454.39,462.09,450.0,461.09,1.27,577.49,6.9784893,0.02351031,0.025999,0.0223,0.02350001,289.37399146,0.0
2014-04-10,461.09,461.09,383.08,383.08,17.11,7148.34,4.43197999,0.024,0.0277,0.022000000000000002,0.02351031,185.1320878,0.0
2014-04-11,383.08,583.75,353.76,430.0,16.22,6617.7,5.62155975,0.0255,0.0277,0.023,0.024,220.7696994,0.0
2014-04-12,430.0,450.0,429.01,448.0,10.71,4757.18,3.00115749,0.0245,0.02639999,0.02445,0.0255,118.96264497,0.0
2014-04-13,448.0,448.0,407.07,429.79,9.32,3950.49,3.55040995,0.02599,0.0285,0.02450002,0.02450002,134.51934976,0.0
2014-04-14,429.79,480.07,411.34,459.38,42.64,18937.44,5.07653183,0.02436,0.02579999,0.023002,0.02579999,204.7625525,0.0
2014-04-15,459.38,573.67,450.5,523.74,30.52,15259.53,3.08790362,0.0263,0.0288,0.02435,0.02435001,123.23975759,0.0
2014-04-16,523.74,550.8,490.56,523.52,51.73,27085.47,1.34098869,0.025296000000000003,0.0287,0.02435,0.0263,51.98682462,0.0
2014-04-17,523.52,530.36,495.53,504.29,16.15,8302.41,1.25464479,0.0258,0.0268,0.02435011,0.025296000000000003,50.23656651,0.0
2014-04-18,504.29,515.0,477.19,485.56,31.51,15658.79,2.1758785,0.024,0.0258,0.024,0.0249,89.23636640000002,0.0
2014-04-19,485.56,525.28,479.96,504.5,10.97,5515.26,2.13298974,0.02579998,0.0259,0.0241,0.0241,84.9293457,0.0
2014-04-20,504.49,510.0,500.0,504.73,1.54,781.75,1.94747608,0.025,0.02615,0.02461,0.0251,76.21045492,0.0
2014-04-21,504.73,517.31,485.0,496.42,17.33,8626.5,0.85803388,0.02544999,0.0262,0.02461,0.02599999,33.3638723,0.0
2014-04-22,496.42,510.49,484.62,489.72,7.49,3735.21,0.5303770800000001,0.02490052,0.02545,0.02490003,0.02545,21.15670217,0.0
2014-04-23,489.72,504.5,489.0,495.62,7.02,3468.09,1.15221939,0.02475009,0.02544888,0.02475008,0.02490053,45.8060887,0.0
2014-04-24,495.62,501.95,490.0,501.95,3.58,1761.6,0.34282047,0.02549999,0.0255,0.02475009,0.02544887,13.5056911,0.0
2014-04-25,501.95,503.48,449.0,471.02,27.38,12894.44,0.92804243,0.02400002,0.0255,0.0226,0.02549999,37.41433881,0.0
2014-04-26,471.02,476.18,456.75,463.7,3.39,1577.69,0.93255511,0.0252,0.02539999,0.0232,0.02400002,37.84425002,0.0
2014-04-27,463.7,463.7,438.72,438.72,2.91,1322.88,0.48399603,0.0231,0.0247,0.0231,0.02350017,20.32705199,0.0
2014-04-28,438.72,455.09,429.09,446.18,6.12,2687.02,0.78954817,0.0245,0.0246,0.0211,0.0211,34.05989084,0.0
2014-04-29,446.18,454.62,435.65,445.68,7.31,3276.73,0.72549478,0.02231023,0.0245,0.02231,0.02231001,30.94692769,0.0
2014-04-30,445.68,452.82,441.23,448.34,9.06,4071.93,1.67512442,0.02529,0.02529,0.0235,0.02350001,69.58425482,0.0
